ID,IP,PORT,CREATED_DT_TM,UPDATE_DT_TM,PROVIDER 
1,46.4.96.137,8080,Jul 15 2020  1:44PM,2020-07-15 13:20:07,pubproxy.com
2,27.116.51.178,6667,Jul 15 2020  1:44PM,Jul 15 2020  1:44PM,api.getproxylist.com
3,103.204.220.18,82,Jul 15 2020  7:13AM,2020-07-14 11:31:32,pubproxy.com
4,93.170.15.177,43261,Jul 15 2020  7:13AM,Jul 15 2020  7:13AM,api.getproxylist.com
5,181.112.48.142,35275,Jul 14 2020  3:10PM,Jul 14 2020  3:10PM,api.getproxylist.com
6,118.163.83.21,3128,Jul 14 2020  3:10PM,2020-07-14 11:37:42,pubproxy.com
7,144.76.214.157,1080,Jul 14 2020  6:45AM,2020-07-14 06:16:21,pubproxy.com
8,154.73.84.37,43388,Jul 14 2020  6:45AM,Jul 14 2020  6:45AM,api.getproxylist.com
9,150.107.205.196,8081,Jul 13 2020  3:07PM,2020-07-13 14:33:25,pubproxy.com
10,222.124.30.124,4145,Jul 13 2020  3:07PM,Jul 13 2020  3:07PM,api.getproxylist.com
11,112.78.38.21,44228,Jul  6 2020  8:41AM,Jul  6 2020  8:41AM,api.getproxylist.com
12,203.202.248.35,8080,Jul  6 2020  8:41AM,2020-07-06 08:34:07,pubproxy.com
13,43.225.186.18,80,Jul  6 2020  7:56AM,2020-07-06 07:46:58,pubproxy.com
14,200.71.73.242,4145,Jul  6 2020  7:56AM,Jul  6 2020  7:56AM,api.getproxylist.com
15,185.134.23.198,80,Jul  5 2020  8:40AM,2020-07-05 08:25:05,pubproxy.com
16,188.226.141.61,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
17,1.1.1.119,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
18,1.0.0.171,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
19,185.184.243.199,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
20,207.148.126.120,32042,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
21,1.0.0.130,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
22,193.169.20.102,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
23,46.165.251.100,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
24,91.194.247.247,3333,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
25,105.29.64.221,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
26,139.59.1.14,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
27,1.1.1.74,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
28,85.173.165.36,46330,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
29,1.0.0.69,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
30,1.1.1.54,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
31,45.77.230.235,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
32,1.1.1.167,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
33,104.28.1.99,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
34,1.1.1.217,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
35,81.218.45.196,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
36,51.158.119.88,8811,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
37,84.201.170.136,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
38,45.32.235.154,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
39,59.153.17.102,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
40,104.28.24.29,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
41,203.202.245.62,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
42,185.20.198.108,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
43,212.83.176.29,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
44,167.172.136.107,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
45,1.0.0.143,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
46,51.89.166.147,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
47,1.0.0.45,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
48,1.0.0.114,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
49,1.0.0.63,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
50,91.201.240.246,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
51,159.8.114.37,8123,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
52,113.196.140.162,8888,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
53,1.1.1.52,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
54,167.99.186.202,8080,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
55,161.35.124.128,3128,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
56,1.1.1.70,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
57,167.172.208.225,3128,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
58,104.28.25.7,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
59,190.145.148.34,56368,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
60,105.29.64.223,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
61,1.0.0.197,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
62,89.163.227.88,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
63,199.247.13.22,31284,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
64,188.127.229.53,5836,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
65,42.3.51.114,80,Sun 05 Jul 2020 08:02:28 GMT,Sun 05 Jul 2020 08:02:28 GMT,proxy11.com
66,45.5.208.33,4145,Jul  5 2020  8:40AM,Jul  5 2020  8:40AM,api.getproxylist.com
